English,Hindi,Gondi
Birds were flying in the sky.,पक्षी आसमान में उडरहे थे।,पिट्टेंग बूम पोर्री पर्रियसोर मंदुंग।
"My dear countrymen, Namaskar!","मेरे प्यारे देशवासियो, नमस्कार!",नावा लाडरह देस बितोर ‘सेवा -जोहार
"This year, the largest number of Indians will go to Haj, the people of these states have applied the most","इस साल सबसे अधिक संख्या में भारतीय करेंगे हज यात्रा, इन राज्यों के लोगों ने किया सबसे ज्यादा आवेदन",इंद वरसा सबसे ज्यादा जन लोर भारत तीगाडोर कियानुर हज दायाना। इवेहना राज्य तालोर कितोर सबसे ज्यादा कागज
We'll be playing after school.,हम स्कूल के बाद खेल रहे होंगे।,माट इसकुल त पर्रेक कर्रस्योर कियाना कीसोर मन्दाकट होही।
The Taragarh Fort in Ajmer is of archaeological importance.,अजमेर का तारागढकिला पुरातात्विक दृटि से महत्वपूर्ण है,अजमेर ता तारागढ़ महल पुरातात्विक दृटि तह कुबैय बेस आंद।
Kadhi pakora is a famous North Indian dish.,कढ़ी पकौड़ा एक प्रसिद्ध उत्तर भारतीय व्यंजन है,कड़ही पुल्ला बजियंग उद नामजागी रक्सल भारत ता तिदंना आंद।
I haven't been writing since last night.,मैं रात से लिख नहीं रहा हूँ।,नन्ना नुल्पे डह कोटोने।
Will they be serving food?,क्या वे खाना परोस रहे होंगे?,बाता वेर गाटो तूससोर मंदानुर आयर ?
This will be my home.,यह मेरा घर होगा।,इद नावा लोन आयर ।
Indian culture is famous for its diversity.,भारतीय संस्कृति अपनी विविधता के लिए प्रसिद्ध है,"भारत तंग बानी - बाना आपूना वेड़काना, मंदना, न बाटा नाम जागी आंद।"
They will study in school.,वे स्कूल में पढ़ाई करेंगे।,ओर लोर स्कूल ते पढ़ेई कियायनूर ।
The elderly women of the village also used to talk to their mother in a relationship.,गाँव की बुजुर्ग महिलायें भी माँ के साथ रिश्ता जोड़ कर बात करती थीं,नाटांग सियान आस्क गला यामानसंग नाता पण्ड्स वेड़‌ कदंुग
"By understanding the differences in karaoke, we can eliminate social inequality.",कराक के भेदों को समझने से हम सामाजिक असमानता को समाप्त कर सकते हैं।,कारेन ता पर्रेक तुन समजे मास माट बुमकाल तंग कोहड़ांग मटाकून पाटे कीला पर्रियसता।
There are enlightening stories in many languages of India.,भारत की कई भाषाओं में ज्ञानवर्धक कहानियाँ मौजूद हैं।,भारत तंग कुबैय पोल्लोंग ने वेल्लय कुबैय बुद्द बित्तिह कतंग  मन्तंग।
Green grass grows in the forest.,जंगल में हरी-भरी घास उगती है।,कोट्टुम ते ल‍ह -लहा रोन्‍डा उपजे मायता।
Mamata Banerjee has given a new twist to Bengal politics.,ममता बनर्जी ने बंगाल की राजनीति को दिया नया मोड़,ममता बनर्जी बंगाल त राजनीति ते उन्द पूना मोड़ हीत।
"This day is an occasion for all citizens of the country to reaffirm their faith in the ideals of liberty, equality and fraternity.","यह दिवस, देश के सभी नागरिकों के लिए स्वतंत्रता, समानता और भाई चारे के आदर्शों के प्रति अपनी आस्था को दोहराने का अवसर है।","इद दिया, देशतोर सपय लोर्क ला बाटा स्वतंत्रता समानता अन उंद सुल तांग आदशर्क न किरता्क आपुना बिसवास तुन सुरता कियना ता मोका आंद।"
A river of emotions flows in the language of India.,भारत की भाषा में भावनाओं की नदी बहती है।,भारत ता पोल्‍लो दे पुन्‍दाना तंग डोडा पोंगयता।
Poonam Nautiyal: Yes.,पूनम नौटियाल:- हाँ,पूनम नौटियाल:- जी
The language of India reflects both love and sacrifice.,भारत की भाषा में प्रेम और त्याग दोनों झलकते हैं।,भारत ता पोल्‍लो दे मया अन तप रंडो जलके मायतंग।
Now is the time to put an end to this bad habit once and for all.,"अब वो समय आ गया है, कि इस बुरी आदत को, हमेशा-हमेशा के लिए ख़त्म कर दिया जाए","इदेक ओद बेरा वाता, कि इद बुरी आदत तुन जरमें -जरमें तहबे मरिहच्च हेवीट।"
The students read books.,छात्र किताब पढ़ते थे।,पड़हे कीनंग पीलंग कागेत कर्रिन्दुंग।
"In literature, truth is presented in the garb of imagination.",साहित्य में सच्चाई को कल्पना के वस्त्र पहनाकर प्रस्तुत किया जाता है।,कतांग सतेयतुन सुतुर ता गेतिंग केर्रस् हाजिर आयता।
