English,Hindi,Mundari
Create a series of goals in order of importance.,महत्व के हिसाब से लक्ष्यों की एक क्रमबद्ध श्रृंखला बनाएँ।,महत्व रआः हिसाब ते लक्ष्य कोराः मिआद क्रमबद्ध श्रृंखला बाइपे।
"Coal in India is found in rock strata of two major geological ages - Gondwana, which is a little over two million years old, and Tertiary deposits, which are about 5.5 million years old.",भारत में कोयला दो प्रमुख भूगर्भिक युगों के शैल क्रम में पाया जाता है - एक गोंडवाना जिसकी आयु 200 लाख वर्ष से कुछ अधिक है और दूसरा टरशियरी निक्षेप जो लगभग 55 लाख वर्ष पुराने हैं।,भारत रे कोयला बरिआ मुद् भूगर्भिक युग को रेअः शैल क्रम रे नमोः तना-मियद् गोंडवाना एना रअः सिरमा 200 लाख सिरमा आते तारा अदिका मेनअः ओड़ोः एटअः टरशियरी निक्षेप ओकोअः हला-जोला 55 लाख सिरमा मरि मेनअः।
"Then a lion came out from there and said, ""What did you say?""","उसके बाद वहीं से ही एक शेर निकला और बोल रहा है, क्या बोली थी मइया।",एनाते एनतः तेगे कुला उड़ुड. लेना आद दे मेन जदा चनाःम  मेन लअः मई।
They would eat people as soon as they found them.,वे लोगों को पाते ही उन्हें खा जाते थे।,इनकु होड़ो दो जोम तेगे को नमजद् को तइकेना।
"After this, both of them left.",इसके बाद दोनों चले गये।,एनेते किङ सेनोःजना।
The state has several backwater areas that are used for commercial inland navigation.,राज्य में कई अप्रवाही जल क्षेत्र हैं जिनका उपयोग वाणिज्यिक अंतर्देशीय नौवहन के लिए किया जाता है।,"राइज रे इसु पुरअः दअः बइयाकन टयद् को मेनअः, ओकोनअः को कमिरे अउ मेनते बितर दिसुम रे दअः चलव मेनते को अउ जदा।"
"""Look, once we start, very simply we will go on.""","""देखिए, एक बार शुरू करेंगे, तो बहुत सरलता से हम आगे बढ़ेंगे।""","लेलेपे, मिसाबु एटेःएअ, दो पुरअः गे रबलते अबु अयरतेबु हिजुअ। """
Baa lere enung lelo.,बै लेरे एनङ् लेलोव।,उसी समय घोड़े ने लात मारकर उन्हें तोड़ दिया।
They also have to answer questions raised in the assembly and assure the people who ask questions that appropriate steps are being taken.,उन्हें विधानसभा में उठाए गए प्रश्नों का भी उत्तर देना होता है और प्रश्न करने वाले लोगों को आश्वस्त करना होता है कि उचित कदम उठाए जा रहे हैं।,"चिल्का-लोक निर्माण विभाग, कृषि विभाग, स्वास्थ्य विभाग, शिक्षा विभाग एमन् को।"
He took six wickets.,उन्होंने छह विकेट अपने नाम किए।,इनिः तुरि विकेट अएआः नुतुम ते आउकेदाएः।
"Finally, two Khasis and a pitcher spoke of Handia.",अन्त में तो दो खस्सी और एक घड़ा हंडिया की बात बोले,"टुनडुरेदो बरिय कसि अद् बर चटु इलि रअःकिङ कजिकेदा; एनाओ काए है'केदा, सिदा रअः कजिरेगेए कजिकेदा ।"
gender,लिंग,लिङग
Summer season,ग्रीष्म ऋतु,जेटेः सअः
Your village is in a mess because of its water.,तुम्हारा गांव उसका पानी बिगड़ने के कारण बिगड़ा हुआ है।,हातु दो दअः ओड़ा कान रअः ते ओड़ाकना।
"My dear countrymen, the listeners of'Mann Ki Baat'often write to me about the rapid increase in the use of modern technology in our country in the last few years.","मेरे प्यारे देशवासियो, बीते कुछ वर्षों में हमारे देश में आधुनिक Technology का इस्तेमाल जिस तेजी से बढ़ रहा है, उस पर अक्सर मुझे ‘मन की बात’ के श्रोता, अपनी बातें लिखते रहते हैं।","अइत्र दुलाड़ दिसुमहोडोको, सेनोःजान तारा सिरसा कोरे आबुआ दिसुम ऐ आधुनिक Technology रेए अनागु चिलका सेकेडा सेसेन ताना इनाकोरे अकसर आइत्रा मन की बात' रे आयुमतान को आकोआ जगर को को ओले ताना।"
"So while designing, my big urge was to have a toilet.",तो design बना रहे थे मेरा बड़ा आग्रह था toilet तो होना ही चाहिए।,"दो design बबइ तन केना, अइङअः मरङ अरजि तइकेना toilet   दो होबाओः गे लगातिङअ।"
"For Dr. Syama Prasad Mukherjee, what mattered most was the integrity and unity of India and for this he even lost his life at the young age of 52. Let us always remember Dr. Syama Prasad Mukherjee's message of unity, with a spirit of harmony and brotherhood, committed to India's progress.","""डॉ० श्यामा प्रसाद मुखर्जी के लिए, जो सबसे महत्वपूर्ण बात थी, वो थी भारत की अखंडता और एकता – और इसी के लिए 52 साल की कम उम्र में हीउन्होंने अपनी जान भी गवानी पड़ी। आइये! हम हमेशा डॉ० श्यामा प्रसाद मुखर्जी के एकता के सन्देश को याद रखें, सद्भाव और भाईचारे की भावना के साथ, भारत की प्रगति के लिए जी-जान से जुटे रहें।""","डॉ. श्यामप्रसाद मुखर्जीअः मेनते, ओकोनअः सोबेनाएते जरुड़ु कजि तइकेना, एना तइकेना भारत रअः अखंडता ओड़ोः एकता-ओड़ोः नेअः मेनते 52 सिरमा रेअः हुड़िङ उमर रे इनिः अएअः जीउ गोए जना। देला! आबु सोबेन इमतङ डॉ. श्यामप्रसाद मुखर्जीअः एकता रेअः संदेश के उड़ु जोगवेपे, सद्भाव ओड़ोः भाइचारा रअः भावना लोःते, भारत रअः प्रगति मेनते जी-जान ते जुटवकन तइनोका। """
