English,Hindi,Gondi
The library remains open to the community.,पुस्तकालय समाज के लिए खुला रहता है।,कागेत डेरा ते बुमकाल ता बाटा तर्रियी आस मंता।
Education teaches us how to live life.,शिक्षा हमें जीवन जीना सिखाती है।,पड़हे कीतेक माकुन जिलंगी जीवे मायना कर्रिह्यता।
Fifty people had clapped.,पचास लोग ताली बजा चुके थे।,सैयूं मानेय तपुड़कंग पायलेर।
How do you get butter out of yogurt?,दही से मक्खन कैसे निकालते हो?,दही तीना पाल निय्य बेले बनाकीतोर।
The child smiles.,बच्चा मुस्कुराता है।,माट बेस बेरा ते तेदिन्तोरोम।
There is a fence of thorns around our farm.,हमारे खेत के चारों तरफ कांटों का बाड़ लगा है।,मावा ने लते नालूंग कोटूंच हापी ना घेरा लगे माता।
and was able to connect with the students of Lucknow University,और लखनऊ विश्वविद्यालय के छात्रों से जुड़ने में सक्षम हुआ,अन लकनऊ पढ़हे कियानंग पीलाना संग मिलेमाया पर्रतुर
"Well, I've been told that you are diabetic.","अच्छा, मुझे बताया गया है कि आप diabetes के मरीज हैं",बने नाकुन बेहले आता कि निमा diabetes त बीमारी आंत।
Foundation stone laid for development works worth about Rs.1350 crores,लगभग 1350 करोड़ रुपये के विकास कार्यों का शिलान्यास किया गया,करीब साढ़े 13 सौक करोड़ रूपयाना बरसीहना ता काम तुन नेव इर्रना आत
I like to eat fruits.,मैं फल खाना पसंद करता हूँ।,नन्ना पंडिंग तिन्दाना बिचर कियायतोना
The parrot will spread its wings.,तोता अपने पंख फैलाएगा।,हिड़ आपुनंग मारे किंनुंग हाहर।
The women of India are masters in the art of saving.,भारत की नारी सहेजने की कला में निपुण होती है।,भारत तंग मुयतड़ ओंडे कियाना गुन ते स्रेट आयता।
The care and operation of boats is important in coastal life.,तटीय जीवन में नावों की देखभाल और संचालन महत्वपूर्ण होता है,तट ओदा जिन्दगी ते डोंगा नूंग देक रेक अन चलेह कियानता कुबैय बेस आंता।
The test result is out.,परीक्षा का परिणाम आ गया।,परीचा ता परिणाम वात।
So take time to watch such events. These experiences will make your trip even more memorable.,तो ऐसे आयोजनों को देखने के लिए समय निकालें। ये अनुभव आपकी यात्रा को और भी यादगार बना देंगे।,अस्के इदमनांग बिचारिगंग नून हूड़लाय पुरसद पसहाट इद पुंदले ता मिया दायना तुन पेर वने सुरतावानह पंडार।
