English,Hindi,Santali
The Indian Super League team was punished for 11 million rupees on FC Goa while its employees were ordered to corrupt the image of Sri Lanka. And the session was banned for two and three sessions.,इडयन सपर लग क टम एफस गव पर 11 करड रपय क जरमन लगय गय जबक इसक सह मलक शरनवस डमप और दततरज सलगवकर क टरनमट क छव खरब करन क लए करमश द और तन सतर क लए परतबधत कर दय गय,ᱤᱱᱰᱤᱭᱟᱱ ᱥᱩᱯᱟᱨ ᱞᱤᱜᱽ ᱫᱚᱞ ᱮᱯᱷ ᱥᱤ ᱜᱳᱣᱟ ᱫᱚ ᱑᱑ ᱠᱳᱴᱤ ᱴᱟᱠᱟ ᱰᱟᱸᱰᱚᱢ ᱞᱮᱫᱮᱭᱟ ᱟᱨ ᱱᱚᱣᱟ ᱨᱮᱱ ᱥᱚᱦᱮᱫ ᱢᱟᱹᱞᱤᱠ ᱥᱨᱤᱱᱤᱵᱟᱥ ᱰᱮᱢᱯᱳ ᱟᱨ ᱫᱚᱛᱛᱛᱟᱨᱟᱡᱽ ᱥᱟᱞᱜᱟᱣᱚᱠᱟᱨ ᱫᱚ ᱴᱩᱨᱱᱟᱢᱮᱱᱴ ᱨᱮᱭᱟᱜ ᱢᱟᱹᱱ ᱵᱟᱹᱲᱤᱡ ᱞᱟᱹᱜᱤᱫ ᱞᱮᱛᱟᱲ ᱜᱮ ᱵᱟᱨᱭᱟ ᱟᱨ ᱯᱮᱭᱟ ᱢᱚᱨᱥᱩᱢ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱵᱟᱫ ᱞᱮᱫᱮᱭᱟ
How many alarms are kept in Portuguese,वरततमन म कतन अलरम रख ह,ᱱᱤᱛᱚᱜ ᱛᱤᱱᱟᱹᱜ ᱮᱞᱟᱨᱢ ᱢᱮᱱᱟᱜᱼᱟ?
Tell me the mama weather,मझ शघईक मसम बतओ,ᱥᱟᱝᱜᱷᱟᱭ ᱨᱮᱭᱟᱜ ᱦᱚᱭᱦᱤᱥᱤᱫ ᱞᱟᱹᱭᱟᱹᱧ ᱢᱮ
"Today were going to harvest vegetables and vegetables in the field, and workers are careful to pack them up to the market.","आज खत म आल और गजर क कटई क ज रह ह, और मजदर सवधन स उनह बजर क लए पक कर रह ह","ᱛᱮᱦᱮᱧ ᱵᱟᱹᱫᱽ ᱨᱮ ᱟᱞᱩ ᱟᱨ ᱜᱟᱡᱚᱨ ᱪᱟᱥ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ, ᱟᱨ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱥᱚᱱᱛᱚᱨ ᱥᱟᱞᱟᱜ ᱵᱟᱡᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱚᱱᱟ ᱠᱚ ᱯᱮᱠᱤᱝ ᱮᱫᱟ"
"Im gonna go to share this time in the school program, on June 21, Im gonna make a sum with people of Munda.","म इस बर चडगढ क करयकरम म शरक हन क लए जन वल ह, 21 जन क चडगढ क लग क सथ म यग करन वल ह","ᱤᱧ ᱫᱚ ᱱᱤᱭᱟᱹ ᱫᱷᱟᱣ ᱪᱚᱱᱰᱤᱜᱚᱰ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱨᱮ ᱥᱮᱞᱮᱫᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ, ᱒᱑ ᱡᱩᱱ ᱨᱮ ᱪᱚᱱᱰᱤᱜᱚᱰ ᱨᱮᱱ ᱦᱚᱲ ᱠᱚ ᱥᱟᱞᱟᱜ ᱤᱧ ᱭᱚᱜᱟ ᱤᱧ ᱠᱚᱨᱟᱣᱟ"
"No, its not true.","नह! नह, यह सच नह ह. नह, कभ भ सबस अचछ समय! ह, तम मर ससर क रक!","ᱵᱟᱝᱟ ! ᱵᱟᱝᱟ, ᱱᱚᱣᱟ ᱫᱚ ᱥᱟᱹᱨᱤ ᱫᱚ ᱵᱟᱝᱟ ᱵᱟᱝᱟ, ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱵᱷᱟᱜᱮ ᱚᱠᱛᱚ ! ᱦᱚᱭ, ᱟᱢ ᱤᱧᱟᱹᱜ ᱫᱷᱟᱹᱨᱛᱤᱢ ᱵᱚᱱᱫᱚ ᱟᱠᱟᱫᱼᱟ !"
"For information about whom to contact for help in your Kingdom, go to the childflower Office site of Health and Human Services Department.","आपक रजय म सहयत क लए कसस सपरक कय जए, इस जनकर क लए, सवसथय और मनव सव वभग क बलदखभल करयलय क वबसइट पर जए","ᱟᱢᱟᱜ ᱯᱚᱱᱚᱛ ᱨᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱚᱠᱚᱭ ᱥᱟᱶ ᱡᱳᱜᱟᱡᱳᱜᱽ ᱦᱩᱭᱩᱜᱼᱟ, ᱚᱱᱟ ᱛᱚᱛᱛᱷᱚ ᱞᱟᱹᱜᱤᱫ, ᱦᱚᱲᱢᱚ ᱥᱟᱶᱟᱨ ᱟᱨ ᱢᱟᱱᱣᱟ ᱥᱮᱵᱟ ᱛᱷᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱟᱭᱤᱞᱰ ᱠᱮᱭᱟᱨ ᱚᱯᱷᱤᱥ ᱨᱮᱭᱟᱜ ᱳᱭᱮᱵᱥᱟᱭᱤᱴ ᱧᱮᱞ ᱢᱮ"
"And we were given our cow in the morning and in the evening, and the quality of milk was good, and nothing was lacking in the use of the family day.","हमर गय क सबह और शम हर चर दय गय, जसस दध क गणवतत अचछ रह और परवर क दनक उपयग म कई कम नह आई","ᱟᱵᱚᱣᱟᱜ ᱰᱟᱹᱝᱜᱽᱨᱤ ᱫᱚ ᱥᱮᱛᱟᱜ ᱟᱨ ᱥᱤᱸᱜᱟᱹᱲ ᱦᱟᱹᱨᱭᱟᱹᱲ ᱡᱚᱢᱟᱜ ᱮᱢ ᱦᱩᱭ ᱞᱮᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱛᱳᱣᱟ ᱨᱮᱭᱟᱜ ᱜᱩᱱᱢᱟᱱ ᱵᱷᱟᱜᱮ ᱫᱚᱦᱚ ᱞᱮᱫᱟ ᱟᱨ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱮᱭᱟᱜ ᱫᱤᱱᱟᱹᱢ ᱫᱤᱱ ᱵᱮᱣᱦᱟᱨ ᱨᱮ ᱪᱮᱫ ᱦᱚᱸ ᱠᱚᱢ ᱵᱟᱝ ᱦᱩᱭ ᱞᱮᱱᱟ"
How many new emails I have received,मझ कतन नए ईमल मल ह,ᱤᱧ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ ᱱᱟᱶᱟ ᱤᱢᱮᱞ ᱤᱧ ᱧᱟᱢ ᱟᱠᱟᱫᱟ
"According to the magazine Science Report, the light of the sun has become a global problem.",पतरक सइस म छप रपरट क मतबक घटत सरय क रशन वशवक समसय बन गई ह,"ᱥᱟᱭᱮᱱᱥ ᱡᱟᱨᱱᱟᱞ ᱨᱮ ᱯᱟᱨᱥᱟᱞ ᱟᱠᱟᱱ ᱨᱮᱛᱮᱫ ᱞᱮᱠᱟᱛᱮ, ᱧᱩᱨᱩᱜ ᱠᱟᱱ ᱥᱤᱧ ᱪᱟᱱᱫᱚ ᱫᱚ ᱡᱮᱜᱮᱛ ᱡᱟᱠᱟᱛ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱦᱩᱭ ᱟᱠᱟᱱᱟ"
