English,Hindi,Mundari
Can you check my contribution amount in Atal Pension Yojna for PRAN number 683461235042,क्या तुम अटल पेंशन योजना में PRAN नंबर 683461235042 के लिए मेरा योगदान चेक कर सकते हो?,चिनअः अम अटल पेंशन योजना रे PRAN नंबर चिनअः अम अटल पेंशन योजना रे PRAN नंबर 683461235042 नगेन अइञ जोगदान चेक दाड़िअम? जोगदान चेक दाड़िअम?
"(3) Mada Buru and Desauli - In this puja, all the small and big deities remaining within the same range come.",(3) मड़ा बुरु और देसाउलि - इस पूजा में जितना ही सीमा के अंदर में बचा हुआ छोटे - बड़े देवता सब आते हैं।,(3) मड़ा बुरु ओड़ोः देसाउलि - नेअ बोंगा रे चिमिन गे सिमान बितर रे सरेअ कन हुपुड़िङ मपरङ बोंगा को रगो तना।
"I am satisfied that during the Amrit Mahotsav on 75 years of independence, we remembered such brave-hearts and passed on their memories to the next generation.","मुझे संतोष है कि आजादी के 75 वर्ष होने पर अमृत महोत्सव के दौरान हमने ऐसे वीर-वीरांगनाओं को याद किया, उनकी स्मृतियों को अगली पीढ़ी तक पहुंचाया।","अइङ के धिरज मेनअः चि रड़ाइचि रेअः 75 बोरोस होबा जन रे  अमृत महोत्सव इमतङ अबु नेकन वीर-वीर एरा कोके बु उड़ु केद कोअः, इनकुअः उड़ु कोके हिजु तन पिढ़ि सेनतेद् तेबअः केदा।"
There are also privately run hospitals and nursing homes.,निजी रूप से चलाए जा रहे अस्पताल व नर्सिंग होम भी हैं।,निजी रूप ते चलाव तन अस्पताल ओड़ोः नर्सिंग होम कोयो मेनअः।
It has to do with how things were in the past and what changes have taken place.,इसका संबंध इस बात से है कि अतीत में चीजें  किस तरह की थीं और उनमें क्या बदलाव आए हैं।,नेअ रअः संबंध  नेअ जगर ते मेनअः चि सेनोः जन सोमए कोरे जिनिस को चिलका तइकेना ओड़ो एना कोरे चनाः बदिल हिजुअकना।
In that case - yea! that I was bouncing on the board.,"उस मामले में-य्या! कि मैं बोर्ड पर उछल रहा था।""",एना रेदो-या! अइङ बोर्ड रेइङ कुड़िल केना।
Get out!,"बाहर निकलो!""","उड़ुङओः मे! """""
The traditional cooking method is followed in Rajgarh every year in special events.,राजगढ़ में हर साल विशेष आयोजनों में पारंपरिक खाना पकाने की विधि का पालन किया जाता है।,राजगढ़ रे जनव सिरमा बिसेस आयोजन कोरे पारंपरिक मंडि इसिन रअः विधि रअः मनातिङ होबाओःअ।
"Mendo Ini: A marang duku nei taikena ki birre hati-kuti janwar kheti jojom ko taikena. Ad jate ka rika kere do do waba, gagai, hode: Rambada Jata: ka nigua.","मेन्दो इनिःआ मरंग दुकु नेया तैकेना कि बिररे हाटि-कुटि जनवार को खेति जोजोम को तैकेना। अद् जेतना का रिका केरे दो दो वाबा, गगाई, होडेः रम्बड़ा जेताः का अगुआ।",भैजू के लिए एक बहुत बड़ा संकट था कि तरह-तरह के जंगली जानवर आकर उसकी खेती बरबाद कर दिया करते थे।
He provoked our brother to harm us.,हमारी नुकश्सानी करने के लिए हमारे भाई को उसकाया।,अबुअः नोकोसान मेनते अबुअः हगाए उसकुरकिःअ !
"The country has suffered from many natural and man-made disasters, such as chemical and industrial accidents.","“इस देश ने कई प्राक्रतिक और मानव-निर्मित आपदाएँ, जैसे रासायनिक एवं औद्योगिक दुर्घटनाओं को झेला है।”","नेअ: दिसुुम पुरअ: सिरासिता ओड़ो: होड़ो-बनइ बलएकोके, नेलेका रासायनिक ओड़ो: औद्योगिक दुरघटना कोके स:तिंङा कदा।"""
Indian society is fundamentally diverse.,भारतीय समाज मौलिक रूप से विविधता से भरा है।,भारतीय समाज मुनु लेकाते रोकोम-रोकोम ते पेरेःआ कना।
Special educational and health services are being arranged for tribal communities.,आदिवासी समुदायों के लिए विशेष शैक्षिक और स्वास्थ्य सेवाओं की व्यवस्था की जा रही है।,आदिवासी समुदाय को मेनते विशेष शैक्षिक ओड़ोः स्वास्थ्य सेवा को रअः व्यवस्था रिकाओ तना।
"After a long time, Saheb and Mangtar are coming back.",बहुत देर के बाद डी.सी. साहब और मंगतरए वापस आ रहे हैं।,इसु खोओन होबा जान चि डी.सी. सायोब आ'र मंगतरए किन रुआडा ताना।
