English,Hindi,Santali
Tosshan explained My love for Zachuna had been on the way over the last six months.,तलब हसन न बतय मर और सबर क परम पछल छह मह स भ अधक समय स चल रह थ,"ᱛᱟᱞᱤᱵ ᱦᱩᱥᱮᱱ ᱞᱟᱹᱭ ᱠᱮᱜᱼᱟᱭ, ᱤᱧ ᱟᱨ ᱥᱟᱵᱤᱨᱟ ᱟᱜ ᱫᱩᱞᱟᱹᱲ ᱪᱟᱞᱟᱣᱮᱱ ᱛᱩᱨᱩᱭ ᱪᱟᱸᱫᱚ ᱠᱷᱚᱱ ᱦᱚᱸ ᱵᱟᱹᱲᱛᱤ ᱚᱠᱛᱚ ᱠᱷᱚᱱ ᱪᱟᱞᱩ ᱟᱠᱟᱱᱟ"
Traditional dances are important in the Indian culture of El Niños Indian dance and Dadmar dance.,छततसगढ क आदवस ससकत म मरग नतय और धमर नतय जस परपरक नतय महतवपरण ह,ᱪᱷᱚᱛᱛᱤᱥᱜᱚᱲ ᱨᱮᱭᱟᱜ ᱟᱹᱫᱤᱵᱟᱹᱥᱤ ᱞᱟᱠᱪᱟᱨ ᱨᱮ ᱢᱩᱨᱜᱟ ᱮᱱᱮᱡ ᱟᱨ ᱫᱷᱟᱢᱟᱨ ᱮᱱᱮᱡ ᱞᱮᱠᱟᱱ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱮᱱᱮᱡ ᱨᱮᱭᱟᱜ ᱮᱱᱮᱢ ᱢᱮᱱᱟᱜᱼᱟ
Answer Sumzas Email,सजत क ईमल क जवब द,ᱥᱩᱡᱟᱛᱟ ᱟᱜ ᱤᱢᱮᱞ ᱨᱮᱭᱟᱜ ᱛᱮᱞᱟ ᱮᱢ ᱢᱮ
"In the fields, putting on time plant plants are building up and expected to produce good crops for the coming harvest.",खत म मकक क फसल म समय पर सचई और खद डलन स पध मजबत ह रह ह और आन वल कटई क लए अचछ पदवर क उममद ह,ᱵᱟᱹᱫ ᱨᱮ ᱡᱚᱱᱰᱨᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱥ ᱨᱮ ᱚᱠᱛᱚ ᱞᱮᱠᱟᱛᱮ ᱫᱟᱜ ᱮᱢ ᱟᱨ ᱥᱟᱨ ᱮᱢ ᱠᱷᱟᱹᱛᱤᱨ ᱫᱟᱨᱮ ᱠᱚ ᱠᱮᱴᱮᱡᱚᱜ ᱠᱟᱱᱟ ᱟᱨ ᱦᱤᱡᱩᱜ ᱠᱟᱱ ᱪᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱟᱨᱡᱟᱣ ᱨᱮᱭᱟᱜ ᱟᱥᱟ ᱢᱮᱱᱟᱜᱼᱟ
The women in the village have built a group that produces fresh vegetables and fruit in the homes.,गव क महलओ न मलकर एक समह बनय ह ज घर म तज सबजय और फल उगकर बचत ह,ᱟᱹᱛᱩ ᱨᱮᱱ ᱛᱤᱨᱞᱟᱹ ᱠᱚ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱜᱟᱫᱮᱞ ᱠᱚ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫᱟ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱚᱲᱟᱜ ᱨᱮ ᱛᱟᱡᱟ ᱟᱲᱟᱜ ᱥᱟᱠᱟᱢ ᱟᱨ ᱡᱚ ᱠᱚ ᱟᱨᱡᱟᱣ ᱠᱟᱛᱮ ᱠᱚ ᱟᱹᱠᱷᱨᱤᱧᱼᱟ
"In the village, farming needs to be seen from a business point of view and built into that same pattern.",गव म खत क आरथक रप स सथर बनन क लए आवशयक ह क कष क वयवसयक दषटकण स दख जए और यजनए उस अनरप बनई जए,ᱟᱹᱛᱩ ᱨᱮ ᱪᱟᱥᱵᱟᱥ ᱠᱟᱹᱣᱰᱤᱟᱹᱨᱤ ᱞᱮᱠᱟᱛᱮ ᱛᱷᱤᱨ ᱛᱟᱦᱮᱱ ᱞᱟᱹᱜᱤᱫ ᱪᱟᱥᱵᱟᱥᱚᱱ ᱫᱚ ᱵᱮᱯᱟᱨᱤ ᱫᱤᱥᱟᱹ ᱛᱮ ᱧᱮᱞ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱟᱨ ᱚᱱᱟ ᱞᱮᱠᱟᱛᱮ ᱯᱟᱱᱛᱷᱟ ᱠᱚ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱠᱛᱤ
"It is necessary to prepare the ground for Bran and Tweets in the fields after the washing of wheat, so that we can sow in the next harvest.","खत म धन और गह क कटई क बद मकक और तलहन क लए जमन तयर करन आवशयक ह, तक अगल फसल समय पर बई ज सक","ᱵᱟᱹᱫᱽ ᱨᱮ ᱦᱩᱲᱩ ᱟᱨ ᱜᱩᱦᱩᱢ ᱪᱟᱥ ᱛᱟᱭᱚᱢ ᱡᱚᱱᱰᱨᱟ ᱟᱨ ᱥᱩᱱᱩᱢ ᱡᱟᱝ ᱞᱟᱹᱜᱤᱫ ᱦᱟᱥᱟ ᱥᱟᱯᱲᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸᱛᱮ ᱛᱟᱭᱚᱢ ᱫᱟᱨᱟᱢ ᱪᱟᱥ ᱚᱠᱛᱚ ᱨᱮ ᱨᱚᱦᱚᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ"
Create a list of all events that will take place in the surrounding area,आसपस क कषतर म हन वल सभ घटनओ क सच बनए,ᱥᱩᱨᱥᱩᱯᱩᱨ ᱴᱚᱴᱷᱟ ᱨᱮ ᱜᱷᱚᱴᱟᱜ ᱠᱟᱱ ᱥᱟᱱᱟᱢ ᱜᱷᱚᱴᱚᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱛᱟᱹᱞᱤᱠᱟ ᱵᱮᱱᱟᱣ ᱢᱮ
"Who when animals take drugs and vaccines on time, they stay free and remain productive?","कसन जब पशओ क समय पर दवई और टक लगत ह, त व रगमकत रहत ह और उतपदकत बन रहत ह","ᱪᱟᱹᱥᱤ ᱠᱚ ᱡᱚᱠᱷᱚᱱ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱚᱠᱛᱚ ᱨᱮ ᱨᱟᱱ ᱟᱨ ᱴᱤᱠᱟ ᱠᱚ ᱮᱢᱟ, ᱩᱱᱠᱚ ᱫᱚ ᱟᱡᱟᱨ ᱠᱷᱚᱱ ᱪᱷᱟᱹᱲ ᱠᱚ ᱧᱟᱢᱟ ᱟᱨ ᱟᱨᱡᱟᱣ ᱫᱟᱲᱮ ᱠᱚ ᱫᱚᱦᱚᱭᱟ"
The whole world is saying that water crisis is gonna be a real challenge to mankind.,आज सर दनय कह रह ह क पन क सकट मनव जत क लए बहत बड चनत बनन वल ह,"ᱛᱮᱦᱮᱧ, ᱥᱟᱱᱟᱢ ᱡᱮᱜᱮᱫ ᱠᱚ ᱞᱟᱹᱭ ᱮᱫᱟ ᱡᱮ, ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱦᱚᱲ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱦᱩᱭᱩᱜᱼᱟ"
